rank,prev_rank,name,league,off,def,spi
1,1,Bayern Munich,German Bundesliga,3.37,0.34,94.33
2,2,Manchester City,Barclays Premier League,3.05,0.33,92.85
3,3,Liverpool,Barclays Premier League,2.85,0.33,91.44
4,4,Barcelona,Spanish Primera Division,2.93,0.41,90.92
5,6,Paris Saint-Germain,French Ligue 1,2.94,0.48,89.8
6,5,Real Madrid,Spanish Primera Division,2.58,0.34,89.28
7,7,Atletico Madrid,Spanish Primera Division,2.4,0.36,87.19
8,11,RB Leipzig,German Bundesliga,2.45,0.55,84.13
9,9,Borussia Dortmund,German Bundesliga,2.4,0.53,84.04
10,8,Manchester United,Barclays Premier League,2.42,0.54,83.96
11,10,Internazionale,Italy Serie A,2.58,0.64,83.84
12,12,Chelsea,Barclays Premier League,2.46,0.58,83.65
13,13,Juventus,Italy Serie A,2.42,0.63,82.21
14,17,Leicester City,Barclays Premier League,2.27,0.56,81.71
15,16,Napoli,Italy Serie A,2.22,0.56,81.13
16,15,Sevilla FC,Spanish Primera Division,2.11,0.52,80.51
17,14,FC Salzburg,Austrian T-Mobile Bundesliga,2.85,1.0,80.35
18,18,AC Milan,Italy Serie A,2.25,0.64,79.82
19,19,Atalanta,Italy Serie A,2.36,0.71,79.68
20,21,Tottenham Hotspur,Barclays Premier League,2.2,0.65,78.87
21,25,Zenit St Petersburg,Russian Premier Liga,2.17,0.64,78.74
22,20,Arsenal,Barclays Premier League,2.18,0.65,78.69
23,27,Real Sociedad,Spanish Primera Division,2.0,0.55,78.3
24,23,Bayer Leverkusen,German Bundesliga,2.15,0.64,78.25
25,29,Benfica,Portuguese Liga,2.26,0.77,77.02
26,30,Everton,Barclays Premier League,2.05,0.65,76.6
27,32,FC Porto,Portuguese Liga,2.14,0.72,76.53
28,24,Borussia Monchengladbach,German Bundesliga,2.17,0.74,76.51
29,22,Wolverhampton,Barclays Premier League,1.88,0.56,76.14
30,31,Lyon,French Ligue 1,1.96,0.62,75.95
31,34,AS Roma,Italy Serie A,2.17,0.78,75.65
32,33,Olympiacos,Greek Super League,2.05,0.71,75.22
33,26,Ajax,Dutch Eredivisie,2.39,0.95,75.14
34,28,Villarreal,Spanish Primera Division,2.12,0.76,75.08
35,39,TSG Hoffenheim,German Bundesliga,2.33,0.92,74.83
36,35,Getafe,Spanish Primera Division,1.72,0.52,74.52
37,40,Lazio,Italy Serie A,2.05,0.82,72.56
38,38,VfL Wolfsburg,German Bundesliga,1.9,0.73,72.23
39,37,Real Betis,Spanish Primera Division,1.96,0.78,72.2
40,44,Eintracht Frankfurt,German Bundesliga,2.08,0.88,71.81
41,42,Southampton,Barclays Premier League,1.95,0.79,71.66
42,41,Shakhtar Donetsk,UEFA Europa League,2.2,0.98,71.49
43,46,Brighton and Hove Albion,Barclays Premier League,1.89,0.76,71.45
44,54,West Ham United,Barclays Premier League,2.02,0.86,71.38
45,36,Granada,Spanish Primera Division,1.9,0.77,71.33
46,45,Lille,French Ligue 1,1.76,0.67,71.19
47,43,Celta Vigo,Spanish Primera Division,1.78,0.7,70.81
48,47,Fiorentina,Italy Serie A,1.91,0.82,70.33
49,48,Flamengo,Brasileiro Série A,1.93,0.85,70.01
50,53,Burnley,Barclays Premier League,1.8,0.78,69.05
51,58,Aston Villa,Barclays Premier League,1.83,0.81,69.04
52,56,Celtic,Scottish Premiership,2.19,1.09,68.97
53,57,Athletic Bilbao,Spanish Primera Division,1.74,0.75,68.91
